nombre,ciudad,direccion,telefono,email,descripcion,horario,morfina,canabinoides,metanfetaminas,metilfenidato,cocaina,metadona,benzodiazepinas,oxycodona,metacualona,lsd,heroina,otros
LABORATORIO ALVEAR,Bello,Calle 20 E N 44 B 21,463 06 29,laboratorioalvear@hotmail.com,Laboratorio clinico de primer nivel.,,No,Si,No,No,Si,No,No,No,Si,No,No,
IDIME S.A.,Bogotá,Cll. 76 No. 13-46,3462877 ext. 130,alba.hernandez@idime.com.co,Laboratorio de referencia que realiza pruebas cualitativas de drogas de abuso en orina.,,No,Si,Si,No,Si,No,Si,No,No,No,No,Barbituricos
Laboratorio clinico sandra v. avella ceron S.A.S.,Sogamoso,cra 14 Nº 13 - 31,7702263,sandra.avella@hotmail.com,"Laboratorio clínico  de primer nivel, las pruebas  de abuso se hacen en forma cualitativa; para cuantitativa se remite al laboratorio de referencia Andreas Rothsthein",,Si,No,No,No,Si,Si,Si,Si,Si,No,No,
Colmedicos,Medellín,calle 50 numero 46-36,5100500 opc 8,natalia.sanchez@colmedicos.com,Laboratorio de primer nivel especializado en salud ocupacional ,,Si,Si,Si,No,Si,Si,Si,No,No,No,No,
EL Laboratorio Clínico,Medellín,Cra 109 # 39B 19,2537417,esterjoal@une.net.co,Laboratorio particular de primer nivel de atención en salud.,,No,Si,Si,No,Si,No,Si,No,No,No,No,
CENTROLAB IPS,Medellín,CALLE 57 A 48-21,4443888,calidad@centrolab.com.co,Laboratorio clínico de referencia,,No,Si,Si,No,Si,No,No,No,No,No,No,
LABORATORIO CLINICO INTEGRAL LA SIERRA  E.U.,Puerto Nare,"parcelas 1 No 21-40 , la sierra",8337121,camalo2010@hotmail.com,laboratorio clinico de nivel 1 de complejidad,,No,Si,No,No,Si,No,No,No,No,No,No,
Laboratorio CLínica Palermo,Bogotá,Carrera 23 # 45c-31 primer piso,5727777 ext. 17860,dianteba@dinamicaips.com.co,"Laboratorio clinico que cuenta con los servicios de urgencias, cirugia, UCI, maternidad, URN, hospitalizacion",,Si,Si,Si,No,Si,Si,Si,No,No,No,No,antidepresivos triciclicos
Prevenir,Santander de Quilichao,carrera 9 # 1 sur 21,2-8295851,mmlibrerosg@hotmail.com,Laboratorio de baja complejidad que realiza pruebas cualitativas de drogas de abuso (panel) a la población en riesgo,,Si,Si,Si,No,Si,No,Si,No,No,No,Si,
Mercy Blandón,Bogotá,Cale 139 No. 99 B 36 2º Piso,6846297,mercyblandon@hotmail.com,Laboratorio de primer nivel que realiza pruebas de tipo cualitativo para determinar drogas de abuso,,No,Si,No,No,Si,No,No,No,No,No,No,
LABORATORIO CLIINICO DRA. CLAUDIA PATRICIA ROJAS,Bogotá,Cll 18 A N° C98-90 PISO 2,2671184,patriciarojaslab@yahoo.com,"Laboratorio clínico de primer nivel de atención, procesamiento de muestras de  Parcial de orina, Coprológía,Hematología básica, Química clínica básica e Inmunología básica, Pruebas de screninig de drogas de abuso y remisión al laboratorio de referencias de pruebas Hormonales y Especializadas.",,No,Si,Si,No,Si,No,Si,No,No,No,No,
Toxicol sas,Bogotá,cra 17 # 61a - 50 2 piso,"2179552,2491875",toxicoljym@yahoo.com,"Análisis de drogas de abuso, metales aguas, alimentos, escopolamina ,intentos de suicidio, entre otros",,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,hidrocarburos
LABORATORIO FAMI,Florencia,Kra 7 No 16-20,4351349,eimbedna@gmail.com,Laboratorio clínico de mediana complejidad,,Si,No,Si,No,Si,No,Si,No,No,No,No,
Laboratorio clinico biodignostico del  caribe,Cartagena,barrio recreo k1 71 C- 7,3015574820,labclinicodelcaribe@gmail.com,Laboratorio de II nivel de atención donde se realizan pruebas de toxicología a personas que ingresan a laborar,,No,Si,No,No,Si,No,No,No,No,No,No,
DORA ESTUPIÑAN,Bogotá,calle 36 sur # 77- 24,2647436,doriis13@hotmail.com,Laboratorio clínico independiente de baja complejidad,,No,Si,No,No,Si,No,No,No,No,No,No,
ClinicaMichelBeltranLtda,Bogotá,Calle8 B#77-32,(1)4243267,clinicamichelbeltran@hotmail.com,Laboratorio Clínico de I nivel con contrato para examenes especializados con Lab. Colcan. ,Horario de 07:30 a 13:00hs de Lunes a Sábado.,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,
LABORATORIO CLINICO NAIZIR LTDA,Ibague,CALLE 33 No. 4A-44,(8)2643079,mayonaizir@hotmail.com,Laboratorio de mediana complejidad habilitado por secretaria de salud del tolima y certificado por Icontec bajo la norma ISO 9001,7 am -  5 pm,Si,Si,Si,No,Si,Si,Si,No,No,No,Si,
LABORATORIO CLINICO IVAN BECERRA,Pasto,kr 35 a # 20 - 10 Centro Medico la Riviera,092 7315704,laboivanbc@hotmail.com,Laboratorio Clínico de baja complejidad que realiza detección de drogas de abuso con multidroga de Xerion panel por 10 INMUNOENSAYO CROMATOGRAFICO  en orina.,7:00am a 12 m - 2:00pm- 6:00 pm,No,Si,Si,No,Si,Si,Si,No,No,No,No,
