Timestamp,Nombre del Laboratorio,Ciudad,Dirección,Teléfono,Correo electrónico,Descripción breve del laboratorio,Horario de Atencíon,¿ Realiza pruebas analíticas sobre algunas de estas drogas de abuso ?,¿ Realiza análisis de esta sustancia ? (Morfina),Tipo de muestra (Morfina),Tipo de análisis (Morfina),Metodo Analitico (Morfina),¿ Realiza análisis de esta sustancia ? (Canabinoides),Tipo de muestra (Canabinoides),Tipo de análisis (Canabinoides),Método Analítico (Canabinoides),¿ Realiza análisis de esta sustancia ? (Metanfetaminas),Tipo de muestra (Metanfetaminas),Tipo de análisis (Metanfetaminas),Método Analítico (Metanfetaminas),¿ Realiza análisis de esta sustancia ? (Metilfenidato),Tipo de muestra (Metilfenidato),Tipo de análisis (Metilfenidato),Método Analítico (Metilfenidato),¿ Realiza análisis de esta sustancia ? (Cocaína),Tipo de análisis (Cocaína),Tipo de muestra (Cocaína),Método Analítico (Cocaína),¿ Realiza análisis de esta sustancia ? (Metadona),Tipo de muestra (Metadona),Tipo de análisis (Metadona),Método Analítico (Metadona),¿ Realiza análisis de esta sustancia ? (Benzodiazepinas),Tipo de muestra (Benzodiazepinas),Tipo de análisis (Benzodiazepinas),Método Analítico (Benzodiazepinas),¿ Realiza análisis de esta sustancia ? (Oxycodona),Tipo de muestra (Oxycodona),Tipo de análisis (Oxycodona),Método Analítico (Oxycodona),¿ Realiza análisis de esta sustancia ? (Metacualona),Tipo de muestra (Metacualona),Tipo de análisis (Metacualona),Método Analítico (Metacualona),¿ Realiza análisis de esta sustancia ? (Acido Lisergico LSD),Tipo de muestra (Acido Lisergico LSD),Tipo de análisis (Acido Lisergico LSD),Método Analítico (Acido Lisergico LSD),¿ Realiza análisis de esta sustancia ? (Anfetaminas),Tipo de muestra (Anfetaminas),Tipo de análisis (Anfetaminas),Método Analítico (Anfetaminas),¿ Realiza análisis de esta sustancia ? (Heroína),Tipo de muestra (Heroína),Tipo de análisis (Heroína),Método Analítico (Heroína),¿ Realiza análisis de alguna otra droga de abuso ?,Tipo de sustancia,Tipo de análisis,Metodo Analitico
11/19/2013 11:56:42,LABORATORIO ALVEAR,Bello,Calle 20 E N 44 B 21,463 06 29,laboratorioalvear@hotmail.com,Laboratorio clinico de primer nivel.,,Si,No,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),No,,,,No,,,,No,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,,,,,No,,,,No,,,
11/19/2013 12:28:14,IDIME S.A.,Bogotá,Cll. 76 No. 13-46,3462877 ext. 130,alba.hernandez@idime.com.co,Laboratorio de referencia que realiza pruebas cualitativas de drogas de abuso en orina.,,Si,No,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),No,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,No,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,,,,,No,,,,Si,Barbituricos,Cualitativa,IA(Inmuno Ensayo)
11/19/2013 13:27:14,Laboratorio clinico sandra v. avella ceron S.A.S.,Sogamoso,cra 14 Nº 13 - 31,7702263,sandra.avella@hotmail.com,"Laboratorio clínico  de primer nivel, las pruebas  de abuso se hacen en forma cualitativa; para cuantitativa se remite al laboratorio de referencia Andreas Rothsthein",,Si,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,No,,,,No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,,,,,No,,,,No,,,
11/19/2013 13:58:49,Colmedicos,Medellín,calle 50 numero 46-36,5100500 opc 8,natalia.sanchez@colmedicos.com,Laboratorio de primer nivel especializado en salud ocupacional ,,Si,Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,No,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,,,,,No,,,,No,,,
11/19/2013 14:12:35,EL Laboratorio Clínico,Medellín,Cra 109 # 39B 19,2537417,esterjoal@une.net.co,Laboratorio particular de primer nivel de atención en salud.,,Si,No,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),No,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,No,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,,,,,No,,,,No,,,
11/19/2013 15:16:34,CENTROLAB IPS,Medellín,CALLE 57 A 48-21,4443888,calidad@centrolab.com.co,Laboratorio clínico de referencia,,Si,No,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),No,,,,No,,,,No,,,,No,Cabello,Cuantitativo,GC-MS (Cromatrografia de gases acoplado a Masas),No,,,,,,,,No,,,,No,,,
11/19/2013 16:12:25,LABORATORIO CLINICO INTEGRAL LA SIERRA  E.U.,Puerto Nare,"parcelas 1 No 21-40 , la sierra",8337121,camalo2010@hotmail.com,laboratorio clinico de nivel 1 de complejidad,,Si,No,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),No,,,,No,,,,No,,,,No,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,,,,,No,,,,No,,,
11/19/2013 16:53:52,Laboratorio CLínica Palermo,Bogotá,Carrera 23 # 45c-31 primer piso,5727777 ext. 17860,dianteba@dinamicaips.com.co,"Laboratorio clinico que cuenta con los servicios de urgencias, cirugia, UCI, maternidad, URN, hospitalizacion",,Si,Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,No,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,,,,,No,,,,Si,antidepresivos triciclicos,Cualitativa,IA(Inmuno Ensayo)
11/19/2013 16:59:37,Prevenir,Santander de Quilichao,carrera 9 # 1 sur 21,2-8295851,mmlibrerosg@hotmail.com,Laboratorio de baja complejidad que realiza pruebas cualitativas de drogas de abuso (panel) a la población en riesgo,,Si,Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),No,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,No,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,
11/19/2013 17:26:05,Mercy Blandón,Bogotá,Cale 139 No. 99 B 36 2º Piso,6846297,mercyblandon@hotmail.com,Laboratorio de primer nivel que realiza pruebas de tipo cualitativo para determinar drogas de abuso,,Si,No,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),No,,,,No,,,,No,,,,No,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,,,,,No,,,,No,,,
